LOCODE,NAME,STATE
OQU,Aaron,GA
AA7,Aaronsburg,PA
ABB,Abbeville,AL
UAB,Abbeville,LA
AV4,Abbeville,MS
ABF,Abbeville,SC
ABD,Abbotsford,WI
ABJ,Abbott Park,IL
AQW,Abbottstown,PA
A4B,Abbyville,KS
AC8,Abercrombie,ND
APD,Aberdeen,ID
ABK,Aberdeen,KY
APG,Aberdeen,MD
AEK,Aberdeen,MS
UAE,Aberdeen,NC
AB3,Aberdeen,NJ
AHD,Aberdeen,OH
XBA,Aberdeen,SC
ABR,Aberdeen,SD
GHR,Aberdeen,WA
AN7,Aberdin,NC
UAF,Abernathy,TX
ABZ,Abilene,KS
ABI,Abilene,TX
ABG,Abingdon,IL
NGD,Abingdon,MD
VJI,Abingdon,VA
UUM,Abington,MA
AP3,Abington,PA
AQ2,Abiquiu,NM
TPG,Abita Springs,LA
QYA,Abrams,WI
ACX,Absecon,NJ
AA4,Acampo,CA
AJT,Accident,MD
JOK,Accokeek,MD
AQC,Accomac,VA
A8C,Accord,MA
ACR,Ackerman,GA
UAG,Ackerman,MS
AKY,Ackley,IA
DMF,Acme,MI
QZA,Acme,WA
QCA,Acra,NY
UAH,Acton,MA
TZO,Acton,TX
KUS,Acushnet,MA
AWR,Acworth,GA
ADZ,Ada,MI
DD2,Ada,MN
AJJ,Ada,OH
ADT,Ada,OK
2AR,Adair,OK
ADV,Adairsville,GA
AD3,Adairville,KY
AXK,Adak,AK
,Adak = Adak Island,
ADK,Adak Island/Adak Apt,AK
UAN,Adams,MA
UAT,Adams,OR
AKM,Adams,TN
AZM,Adams,WI
ADH,Adams Center,NY
YP2,Adams City,CO
UAJ,Adams Run,SC
DST,Adamston,WV
AN6,Adamstown,MD
AEJ,Adamstown,PA
UAM,Adamsville,TN
ADD,Addis,LA
ADS,Addison,AL
UAP,Addison,IL
IAB,Addison,ME
YAI,Addison,MI
XDS,Addison,NY
ADX,Addison,OH
QDS,Addison,PA
DDX,Addison,TX
UAS,Addyston,OH
ADE,Adel,GA
ZAE,Adel,IA
ADU,Adelanto,CA
AJD,Adell,WI
A9D,Adelphi,MD
AHP,Adelphia,NJ
AGE,Adger,AL
RZU,Adkins,TX
ADG,Adrian,MI
AI4,Adrian,MN
AQA,Adrian,OH
UAO,Adrian,OR
AD9,Adrian,PA
5AN,Adrian,TX
DIA,Adrian,WI
AR8,Adrian,WV
A2D,Advance,IN
AVX,Advance,MO
UAR,Advance,NC
AFF,Affton,MO
AFK,Afognak,AK
AF5,Afton,IA
AF9,Afton,MI
FJT,Afton,MN
AS7,Afton,OK
AFT,Afton,TN
AFQ,Afton,VA
AFO,Afton,WY
XBL,Agawam,MA
UAX,Agoura,CA
AGH,Agoura Hills,CA
A2G,Agua Dulce,CA
T7X,Agua Dulce,TX
GKG,Aguanga,CA
AHE,Ahoskie,NC
AIE,Aiea (Oahu),HI
AIK,Aiken,SC
YAY,Ailey,GA
AW2,Ainsworth,NE
AYH,Airway Heights,WA
AJ9,Ajo,AZ
AKQ,Akers,LA
AKK,Akhiok,AK
KKI,Akiachak,AK
AKI,Akiak,AK
AKO,Akron,CO
AKC,Akron,IN
AKA,Akron,MI
AKR,Akron,NY
AKH,Akron,OH
ARN,Akron,PA
KQA,Akutan,AK
A9L,Alabama,NY
ZAC,Alabama City,AL
AA2,Alabama Pt.,AL
LBA,Alabaster,AL
AHU,Alachua,FL
DNJ,Aladdin,WY
AUK,Alakanuk,AK
AMC,Alamance,NC
NGZ,Alameda,CA
UBB,Alamo,CA
AM8,Alamo,NV
AMT,Alamo,TN
AMO,Alamo,TX
ALM,Alamogordo,NM
ALS,Alamosa,CO
YAN,Alanson,MI
TLB,Alba,MI
XAB,Alba,TX
ALA,Albany,CA
ABY,Albany,GA
AJB,Albany,IL
AB5,Albany,IN
AY9,Albany,KY
AL2,Albany,MN
ALB,Albany,NY
UBA,Albany,OH
AYK,Albany,OR
UBE,Albany,TX
AYX,Albany,VT
